ids,labels
0,68
1,33
2,44
3,51
4,71
5,79
6,31
7,63
8,23
9,0
10,71
11,75
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,49
22,75
23,29
24,21
25,16
26,39
27,8
28,8
29,40
30,20
31,10
32,41
33,73
34,56
35,73
36,58
37,11
38,25
39,37
40,63
41,24
42,39
43,30
44,56
45,22
46,41
47,58
48,75
49,17
50,4
51,6
52,9
53,57
54,2
55,32
56,71
57,52
58,42
59,95
60,77
61,32
62,15
63,33
64,62
65,98
66,43
67,82
68,63
69,92
70,66
71,89
72,67
73,91
74,67
75,32
76,82
77,16
78,77
79,99
80,71
81,78
82,54
83,79
84,29
85,89
86,78
87,33
88,35
89,73
90,22
91,18
92,27
93,21
94,13
95,21
96,50
97,75
98,37
99,35
100,26
101,57
102,47
103,95
104,43
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,27
113,83
114,9
115,71
116,8
117,43
118,57
119,56
120,85
121,35
122,19
123,92
124,33
125,20
126,21
127,3
128,70
129,35
130,16
131,16
132,1
133,74
134,3
135,91
136,60
137,64
138,52
139,23
140,4
141,11
142,52
143,27
144,7
145,95
146,89
147,39
148,51
149,13
150,58
151,77
152,27
153,49
154,45
155,66
156,58
157,20
158,55
159,42
160,36
161,8
162,87
163,10
164,30
165,47
166,54
167,99
168,51
169,83
170,86
171,45
172,4
173,83
174,95
175,83
176,18
177,95
178,18
179,40
180,39
181,15
182,22
183,80
184,16
185,28
186,35
187,95
188,98
189,83
190,12
191,24
192,45
193,13
194,94
195,24
196,89
197,42
198,7
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,44
207,31
208,80
209,93
210,67
211,11
212,37
213,89
214,97
215,33
216,53
217,30
218,9
219,81
220,94
221,95
222,99
223,77
224,12
225,72
226,0
227,60
228,79
229,12
230,89
231,57
232,59
233,24
234,65
235,45
236,32
237,36
238,82
239,31
240,23
241,24
242,34
243,21
244,11
245,53
246,80
247,44
248,4
249,39
250,91
251,16
252,50
253,68
254,50
255,66
256,58
257,31
258,6
259,42
260,65
261,76
262,89
263,55
264,19
265,91
266,70
267,1
268,6
269,62
270,99
271,51
272,96
273,0
274,42
275,18
276,67
277,65
278,40
279,62
280,78
281,84
282,28
283,89
284,95
285,66
286,6
287,38
288,42
289,92
290,91
291,55
292,86
293,44
294,96
295,12
296,16
297,67
298,34
299,41
300,33
301,41
302,40
303,7
304,39
305,44
306,76
307,31
308,59
309,40
310,51
311,18
312,41
313,42
314,88
315,15
316,93
317,15
318,61
319,8
320,17
321,85
322,44
323,67
324,12
