ids,labels
0,79
1,33
2,55
3,51
4,71
5,7
6,15
7,63
8,23
9,0
10,12
11,72
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,95
22,75
23,29
24,21
25,16
26,39
27,8
28,16
29,45
30,20
31,61
32,41
33,73
34,56
35,79
36,45
37,11
38,25
39,37
40,63
41,24
42,49
43,30
44,56
45,22
46,41
47,58
48,21
49,57
50,4
51,6
52,9
53,57
54,2
55,32
56,71
57,52
58,42
59,69
60,77
61,27
62,15
63,65
64,62
65,98
66,43
67,62
68,63
69,92
70,66
71,90
72,2
73,91
74,67
75,32
76,82
77,16
78,77
79,40
80,71
81,78
82,54
83,7
84,54
85,89
86,78
87,33
88,35
89,67
90,22
91,18
92,27
93,98
94,13
95,21
96,50
97,7
98,37
99,35
100,26
101,83
102,96
103,9
104,43
105,69
106,76
107,17
108,57
109,59
110,5
111,20
112,27
113,0
114,9
115,71
116,48
117,43
118,83
119,56
120,85
121,2
122,19
123,92
124,33
125,20
126,21
127,27
128,70
129,35
130,16
131,16
132,37
133,74
134,3
135,91
136,60
137,64
138,52
139,23
140,74
141,11
142,52
143,33
144,24
145,95
146,89
147,39
148,51
149,84
150,58
151,77
152,97
153,71
154,62
155,66
156,58
157,20
158,79
159,74
160,36
161,8
162,40
163,22
164,55
165,47
166,54
167,27
168,51
169,83
170,76
171,84
172,55
173,21
174,95
175,83
176,95
177,73
178,18
179,40
180,39
181,15
182,22
183,65
184,28
185,28
186,35
187,95
188,98
189,83
190,12
191,7
192,98
193,13
194,94
195,24
196,58
197,42
198,18
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,44
207,31
208,80
209,93
210,67
211,11
212,49
213,90
214,97
215,33
216,53
217,67
218,16
219,81
220,94
221,18
222,23
223,77
224,12
225,30
226,0
227,76
228,79
229,71
230,89
231,57
232,59
233,24
234,65
235,84
236,32
237,36
238,82
239,31
240,23
241,24
242,34
243,21
244,11
245,53
246,80
247,44
248,4
249,39
250,91
251,16
252,36
253,68
254,74
255,97
256,89
257,75
258,6
259,42
260,80
261,76
262,89
263,4
264,19
265,91
266,62
267,1
268,6
269,62
270,99
271,51
272,96
273,0
274,42
275,18
276,67
277,50
278,40
279,62
280,78
281,84
282,28
283,89
284,73
285,66
286,6
287,74
288,42
289,92
290,32
291,55
292,86
293,44
294,96
295,12
296,16
297,67
298,43
299,89
300,96
301,12
302,40
303,7
304,73
305,44
306,76
307,31
308,18
309,28
310,19
311,18
312,41
313,42
314,15
315,37
316,93
317,15
318,61
319,8
320,17
321,89
322,64
323,67
324,12
325,2
326,57
327,91
328,94
329,14
330,71
331,36
332,61
333,62
334,5
335,60
336,67
337,91
338,34
339,95
340,9
341,50
342,68
343,62
344,99
345,66
346,21
347,24
348,10
349,22
350,68
351,19
352,37
353,58
354,48
355,40
356,96
357,42
358,11
359,55
360,64
361,39
362,17
363,94
364,63
365,10
366,51
367,92
368,12
369,27
370,90
371,33
372,28
373,29
374,84
375,86
376,24
377,0
378,94
379,79
380,26
381,6
382,41
383,80
384,69
385,27
386,29
387,73
388,85
389,65
390,40
391,57
392,72
393,30
